ReturnId,BorrowId,ReturnDate,Fine
1,1,2022-01-05,5
2,2,2022-01-07,0
3,3,2022-01-10,8.5
4,4,2022-01-15,0
5,5,2022-01-20,12
6,6,2022-01-25,0
7,7,2022-01-30,6.75
8,8,2022-02-05,0
9,9,2022-02-10,10.25
10,10,2022-02-15,0
11,11,2022-02-20,15
12,12,2022-02-25,0
13,13,2022-03-02,4.25
14,14,2022-03-07,0
15,15,2022-03-12,7.5
16,16,2022-03-18,0
17,17,2022-03-23,11.25
18,18,2022-03-28,0
19,19,2022-04-03,3.75
20,20,2022-04-09,0
21,21,2022-04-15,9
22,22,2022-04-21,0
23,23,2022-04-27,14.5
24,24,2022-05-03,0
25,25,2022-05-09,6.25
26,26,2022-05-15,0
27,27,2022-05-21,10
28,28,2022-05-27,0
29,29,2022-06-03,2.5
30,30,2022-06-09,0
